 作者  MrSatan (老大!!!!!!!!)                                    看板  C_Chat 
 標題  Re: [推投] 最喜歡日本女聲優前三名 "積分制"投票結果                     
 時間  Wed May  6 21:00:17 2020                                               
───────────────────────────────────────

共307人投/總票數865票/出現162位女聲優
有修正格式/名字

第十名
東山奈央 第一名票: 7票 總票數:24票 總積分: 47分  28歲(並列)
 種田梨沙 第一名票: 9票 總票數:21票 總積分: 47分  31歲
https://i.imgur.com/gEKQjfO.jpg

第九名
佐倉綾音 第一名票: 9票 總票數:28票 總積分: 53分  26歲
https://i.imgur.com/KKojdZ7.jpg

第八名
林原惠   第一名票:14票 總票數:21票 總積分: 54分  53歲
https://i.imgur.com/vUYjk1C.jpg

第七名
悠木碧   第一名票: 8票 總票數:31票 總積分: 60分  28歲
https://i.imgur.com/nJdGcL3.jpg

第六名
水瀨祈   第一名票:14票 總票數:29票 總積分: 66分  24歲
https://i.imgur.com/UYkQZdQ.jpg
第四名
花澤香菜 第一名票:12票 總票數:38票 總積分: 76分  31歲
https://i.imgur.com/XUVbmIH.jpg

第三名
高橋李依 第一名票:15票 總票數:38票 總積分: 77分  26歲
https://i.imgur.com/jm2lR5y.jpg

第二名
茅野愛衣 第一名票:15票 總票數:38票 總積分: 82分  32歲
https://i.imgur.com/p7hGMn2.jpg

第一名
早見沙織 第一名票:26票 總票數:71票 總積分:149分  28歲
https://i.imgur.com/kDwsz6q.jpg


第一 第一 第二 第三 總票 票數  總 
 RK 聲優     名票 票率 名票 名票  數 /人數 積分
1 早見沙織   26 8.5%  26   19   71 23.1%  149  28歲(1991/05/29)
推 ppptttqaz: 炭治郎的手還可以用呀@@                               05/06 21:32
→ rp20031219: 香給炭看她的大蛇....                                05/06 21:32
推 MapleLA: 完結灑花 無慘可憐哪                                    05/06 21:33
→ a123444556: 蛇柱帶的那條蛇沒事喔                                05/06 21:34
推 cindylin812: 伊之助還是用手吃wwwww                              05/06 21:34
推 kuroxxoo: 豬不會用筷子啊XD                                      05/06 21:34
推 ps124125288: 可惜無敵的新鬼王炭炭就這樣沒惹…                   05/06 21:35
推 sky070650: 看到義勇跟大家一起笑著那張 真是太好了qq              05/06 21:36
推 ppptttqaz: 鏑丸真了不起 參與最終戰好像沒什麼受傷                05/06 21:36
推 SaberTheBest: 這樣就好了                                        05/06 21:36
→ sky070650: 原來鏑丸變成香奈乎的寵物了XD                         05/06 21:36
推 Shichimiya: 義勇...笑了...                                      05/06 21:37
推 whitecygnus: 香繼承了蛇當眼鏡(誤)？是說聽得懂蛇話？XD           05/06 21:37
→ ppptttqaz: 鏑丸新職業是要當導盲蛇嗎www                          05/06 21:37
推 ps124125288: 倒數第二張圖，一家人真的很溫馨…                   05/06 21:38
推 PatrickYao: 存活最久的村田先生呢？                              05/06 21:38
→ tp950016: 導盲蛇XD                                              05/06 21:38
推 a123444556: 他本來就幫蛇柱導盲阿 只是飼主換了一個(?             05/06 21:38
推 MAZX: 多一個哥哥了 迷豆子...                                    05/06 21:38
推 timlin0718: 鱗瀧師傅的催眠看來還沒解除啊...                     05/06 21:38
→ ppptttqaz: 鱗瀧現在的表情是不是在暗爽www                        05/06 21:38
推 dwiee: 鱗瀧暗爽中~                                              05/06 21:40
推 zabeth: 實彌的眼神好虐QQ                                        05/06 21:40
推 ajhih28: 鏑丸迴避點滿欸......                                   05/06 21:40
→ zabeth: 水呼組+禰豆子那張看起來好溫馨                           05/06 21:41
推 lngygy123: 鱗瀧的暗示效果太強了吧...                            05/06 21:41
→ greatloser: 炭的手看來能用                                      05/06 21:43
推 ian90911: 第一張把炭看成妙廚老爹                                05/06 21:43
推 YeSerD: 當初還捅了彌豆子一刀，諷刺啊                            05/06 21:44
推 shinkiro: 真溫馨                                                05/06 21:45
推 ice7890: 水家看起來好幸福，義勇終於笑了QQ                       05/06 21:46
推 tsgd: 一家人那張很不錯 原本最初是悲劇的 被炭治郎給扭轉了        05/06 21:48
推 mitsurino: 水一門最棒了 義勇笑了QQ                              05/06 21:49
推 creamsodacat: 導盲蛇wwww                                        05/06 21:54
推 ttcml: 義勇笑了，我死了，豪爽                                   05/06 21:54
→ ttcml: 不過他還是穿著錆兔的羽織QQ                               05/06 21:55
推 linda10285: 感覺實彌最慘，好難過QQ                              05/06 21:56
※ 編輯: wl760713 (36.228.93.10 臺灣), 05/06/2020 21:57:58
推 zabeth: 但至少義勇不用再做一件三色羽織了w                       05/06 21:57
推 k87559527: 風柱QQ                                               05/06 21:58
推 ashkaze: 實彌QQQQQQQQ   鱗瀧是全作最爽的吧                      05/06 21:58
推 vanler: 水呼組溫馨QQ                                            05/06 22:00
推 d66312001: 風QQ                                                 05/06 22:00
推 CR007: 義勇看著炭的眼神也太溫柔了吧                             05/06 22:01
推 itachi0609: 義勇QQ                                              05/06 22:01
→ CR007: 實彌QAQ                                                  05/06 22:02
推 kikike: 風柱收豆子做義妹吧QQ                                    05/06 22:07
→ shinkiro: 音柱最爽了？                                          05/06 22:09
推 anna55: 風柱那個眼神QQ                                          05/06 22:10
推 j55888819: 鱗瀧的一堆弟子都被殺死了 怎麼會爽                    05/06 22:11
推 mimei50510: 風柱QQ  從頭到尾都沒有獲得什麼救贖QQ                05/06 22:11
推 honey4617912: 最後一張還在虐風...                               05/06 22:12
推 online0801: 最後一張偷塞洋蔥....                                05/06 22:13
推 heyyoucheck: 風哥qq 雖然活下來了但想守護的人都沒了 這是鱷魚老   05/06 22:16
→ heyyoucheck: 師虐人的最高境界了吧qq                             05/06 22:16
→ ashkaze: 想說幾乎每個角色身邊都死過人，鱗瀧全作幾乎都在陪妹仔   05/06 22:16
推 patrickleeee: 溫馨                                              05/06 22:19
推 ha99: 最後一張有洋蔥QQ 勇哥剪短了!                              05/06 22:19
→ patrickleeee: 別忘了 炭志郎是自義勇後第一個活著回來的弟子       05/06 22:20


--------------------------------------------------------


 作者  than09138 (tony wu)                                       看板  C_Chat 
 標題  Re: [閒聊] 焰之鍊金術師為什麼這麼稀有？？                              
 時間  Wed May  6 21:33:35 2020                                               
───────────────────────────────────────

※ 引述《fraternity (duhamanity可以原諒他阿1)》之銘言：
: 鍊金術師的口訣：理解，分解，再構築
: 照理來說只要能了解其中的知識，要使出鍊金術應該不難啊
: 從劇情來看
: 似乎只有瑪斯坦的女友爸爸知道焰之鍊金術的知識
: 只要霍克愛背上的刺青消失，焰之鍊金術就失傳了
: 火焰的知識有這麼難嗎？
: 還是只是破壞力太強，所以作者才設定的很稀有


說到鍊金術就好奇想問


明明斯卡的鍊成技術只到分解階段

基本上就是不完全鍊成


結果這種半吊子鍊成能力

可以幹掉一堆國家級鍊金術士




很好奇

這個設定是不是有點不合理


如果不完全的分解術這麼強

戰鬥型鍊金術士  幹脆都只練分解就好了不是嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.228.1.65 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588772017.A.5D9.html
→ gaym19: 因為他體術強到靠北啊                                    05/06 21:34
推 CorkiN: 體術加上那個能力才屌，他一定要手碰到人才能發動鍊金術    05/06 21:34
推 u067: 他分解和破壞速度很快，記得                                05/06 21:35
推 doyouknowhow: 他就鋼鍊右手哥啊                                  05/06 21:35
→ a123444556: 他本身就是戰鬥僧侶加上分解能力打只會鍊金術的國家鍊  05/06 21:35
→ yellow3621: 不知道斯卡和無傷大總統打起來會怎樣                  05/06 21:36
推 qd6590: 或許不完全分解也是需要一個龐大的理論啊 可能一般人弄來   05/06 21:36
→ qd6590: 弄去就是只能A到B 而且一般要分解也要先理解要分的是什麼   05/06 21:36
→ a123444556: 金術士根本輕鬆 打愛德這種有練體術的就要辛苦一點     05/06 21:36
→ l6321899: 戰鬥型的比起分解，練出其他東西打架更快吧XD            05/06 21:36
推 akila08539: 斯卡強的還有體術 國家級體術能和絲卡匹敵的只有少校   05/06 21:36
推 Koyomiiii: 所以斯卡玩偷襲 遇到人多只能炸地板跑走而已            05/06 21:36
→ gaym19: 斯卡分解也是要辨認的 艾德就賭贏過                       05/06 21:36
→ oppaidragon: 他就超級武僧啊 被他摸到就直接即死                  05/06 21:37
→ poke001: 那是體術強還有專精破壞而已 而且一樣要理解構造才能分    05/06 21:37
→ winda6627: 是他哥給他的手太萬用，其他人是一陣一搭好嗎?!ˊ_>ˋ   05/06 21:37
→ poke001: 解                                                     05/06 21:37
→ l6321899: 這招是因為斯卡本身擅長打近戰才很搭                    05/06 21:37
推 doyouknowhow: 遇到大總統這種純體術比他強的就GG了                05/06 21:37
→ poke001: 真正強的是他哥的萬用術式才對                           05/06 21:37
※ 編輯: than09138 (36.228.1.65 臺灣), 05/06/2020 21:38:14
→ oppaidragon: 斯卡比大總統弱啊 他就算加上煉金術還是被殘血大總統  05/06 21:37
→ oppaidragon: 打到吃土耶                                         05/06 21:38
→ qd6590: 除了斯卡哥留給他的手外只有能合掌煉成的才能用這招吧 一   05/06 21:39
→ qd6590: 般人要分解什麼一定要有一個對應的煉成陣  除非你就是只    05/06 21:39
→ qd6590: 分解肉體 肉之鍊金術師                                   05/06 21:39
→ spfy: 少校也有喊阿某恐喪命於此吧 應該比斯卡弱                   05/06 21:39
→ oppaidragon: 一般的煉金術師哪來那麼強的體術 還沒近身就被對面打  05/06 21:40
推 Edison1174: 無能是遇到雨天才不能跟斯卡打 不然他應該可以虐斯卡   05/06 21:40
推 doyouknowhow: 而且鍊金術士研究鍊金術本來就不是用來戰鬥的        05/06 21:40
→ poke001: 一般鍊成陣只能固定分解跟鍊成某些東西 斯卡那個算很OP    05/06 21:40
→ doyouknowhow: 沒有什麼戰鬥型鍊金術士吧                          05/06 21:40
→ oppaidragon: 成蜂窩了 而且普通煉金術師要分解人體還要再畫一個陣  05/06 21:40
→ oppaidragon: 出來 人家哪這麼好心                                05/06 21:41
→ poke001: 有專門戰鬥的鍊金術師啦 不過都有點病                    05/06 21:41
推 akila08539: 最接近的就阿姆斯壯少校阿 體能和體術都很強           05/06 21:41
→ akila08539: 但是像上面說的 一對一打斯卡不一定能贏               05/06 21:41
→ oppaidragon: 不然大部分的國家煉金術師隨身攜帶的都是自己研究成   05/06 21:41
→ oppaidragon: 果的陣                                             05/06 21:41
→ gxu66: 這招我記得矮豆不是也會 比力氣偷拆過對方機械凱y           05/06 21:42
→ gxu66: 只是他好像還是有先拍手                                   05/06 21:42
→ poke001: 豆子會 他自己也是個萬用鍊成陣 只是要先合掌             05/06 21:43
→ gaym19: 矮豆是理論上全能 而且他還要先拍手                       05/06 21:43
推 a123444556: 要拍手是因為愛德通過門獲得不須練成陣的能力必要做的  05/06 21:44
推 doyouknowhow: 愛德是知道對方是機械凱才能拆那麼快                05/06 21:44
→ oppaidragon: 有戰鬥型啊 像金普利那種怎麼看都是用來大範圍殺傷的  05/06 21:44
推 YOLULIN1985: 鐵血跟銀都算戰鬥型的吧                             05/06 21:44
→ oppaidragon: 記得還有個很強的煉金術師 不過在喝醉酒回家路上被斯  05/06 21:44
→ doyouknowhow: 不然碰到沒看過的鍊金術都要先吃招的                05/06 21:44
→ oppaidragon: 卡陰掉了                                           05/06 21:45
→ a123444556: 其他人是準備好練成陣不需要做那動作直接發動即可      05/06 21:45
→ YOLULIN1985: http://i.imgur.com/pMurMXG.jpg                     05/06 21:45
→ gaym19: 就鐵血啊                                                05/06 21:46
→ akila08539: 鐵血動畫有修正了 至少帥過一分鐘(喂                  05/06 21:47
→ Skyraker1320: 其實 講句難聽點的 不就是那些鍊金術士爛嗎          05/06 21:47
推 sadlatte: 斯卡那是拿來幹架的啊沒辦法發論文 而且有些東西分解還   05/06 21:48
→ sadlatte: 更困難 比方說做語言研究的時候要分解pretty到底是唸pre  05/06 21:48
→ sadlatte: tty還是predy water還是waer 一般人聽不太出來的 有可能  05/06 21:48
→ sadlatte: 要使受術者停格在分解階段也是技術 另外跟炎之鍊金術很   05/06 21:48
→ sadlatte: 接近的還有紅蓮之鍊金術師 可以理解成相似的技術是有 只  05/06 21:48
→ sadlatte: 是馬斯坦古那一流派外面沒其他人會                      05/06 21:48
推 hotrain13: 他是武僧欸...體術強到不行，一半鍊金術師不會幹假阿    05/06 21:48
→ oppaidragon: 不是 是斯卡(和他哥)很強才對                        05/06 21:48
推 seventeenlig: 鍊金術適合拿來戰鬥不代表本人真的很會打            05/06 21:49
推 qazws08: 開門的拍手當萬用瑞士刀，打架靠刺青一招打天下比較實用   05/06 21:49
→ seventeenlig: 劇情上明確受過戰鬥訓練的也只有斯卡跟愛利克兄弟    05/06 21:49
→ qazws08: 而且斯卡哥根本是最接近真理的角色                       05/06 21:49
推 joe1220: 金普利的設計很有趣 也是合掌 但有限定 不知道作者想用    05/06 21:50
→ joe1220: 他表達什麼                                             05/06 21:50
推 bicdyueh1212: 斯卡是體術爆強的武僧啊                            05/06 21:50
推 a123444556: 記得漫畫有解釋金普利左右手的陣 但忘記內容了         05/06 21:51
→ oppaidragon: 伊修瓦爾的武僧們是可以赤手空拳讓全副武裝的軍隊苦   05/06 21:51
→ seventeenlig: 金普利把鍊成陣拆成兩半刺在手心，合掌=重疊變完整   05/06 21:51
→ oppaidragon: 戰的強悍存在啊 然後斯卡又有煉金術buff              05/06 21:52
→ seventeenlig: 日月跟上下顛倒的三角型(合起來變六芒星)            05/06 21:52
推 qazws08: 金普利：日月同天、紅蓮一步終                           05/06 21:52
→ bicdyueh1212: 而且其他鍊金術師也會分解 只是必須要另外畫鍊成陣   05/06 21:52
推 newtypeL9: 斯卡真的卑鄙XDDDD                                    05/06 21:53
→ drumsets: 斯卡打手槍會步會很不方便??                            05/06 21:53
→ winda6627: 斯卡哥那套能拿來發表好嗎..ˊ_>ˋ只是當初只能弄一半   05/06 21:54
→ ricky158207: 他體術劇中頂尖等級的啊 阿姆斯壯跟他打幾下而已都說  05/06 21:54
→ winda6627: 給斯卡，終戰雙手才是整套，狀況早跟開門差不多，哪裡   05/06 21:54
→ winda6627: 只能幹架用?!ZZZZZZ                                   05/06 21:54
→ ricky158207: 光保自己不被殺掉就很辛苦了                         05/06 21:54
推 way7344: 問你一句法師被李星q到之後會不會死                    05/06 21:56
→ way7344: 那個李星還是職業級的,只有總統能壓他                    05/06 21:57
→ melzard: 給庫!!!!!!!!!!!!!!!!!!!!!!                             05/06 21:57
噓 Winter1525: 鍊金術國考又沒考打架 而且人家是武僧==               05/06 22:10
推 sadlatte: 斯卡的感覺只能發一次欸 後面經費就領不到惹             05/06 22:12


--------------------------------------------------------


 作者  ArthurJack (Weston)                                       看板  C_Chat 
 標題  [少歌] 官方四格作者   巻々  廻老師的推特                                   
 時間  Wed May  6 21:35:21 2020                                               
───────────────────────────────────────

  巻
々  廻
老師在推特上發推，畫了前五個留言的角色



珠緒前輩:

https://twitter.com/maki2mawaru/status/1257581791482798081


雙葉香子:
https://twitter.com/maki2mawaru/status/1257586322341937156


小山百代(小山百代本人留的言):
https://twitter.com/maki2mawaru/status/1257596097846931461


奈奈:
https://twitter.com/maki2mawaru/status/1257605568832827393

真矢克洛:

https://twitter.com/maki2mawaru/status/1257619169782071296



順帶一提，希望以後有機會看到外校的漫畫

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 140.115.221.72 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588772123.A.DEE.html
推 jeeplong: https://i.imgur.com/8ffD7ch.jpg                       05/06 21:40
推 kinomon: 可愛                                                   05/06 21:59


--------------------------------------------------------


 作者  ss8901234 (絕命六龜葡萄)                                  看板  C_Chat 
 標題  Fw: [情報] 《電馭叛客2077》評級詳情                                    
 時間  Wed May  6 21:36:02 2020                                               
───────────────────────────────────────

※ [本文轉錄自 PlayStation 看板 #1UihqfGl ]

作者: ss8901234 (絕命六龜葡萄) 看板: PlayStation
標題: [情報] 《電馭叛客2077》評級詳情
時間: Wed May  6 21:35:33 2020

【《電馭叛客2077》評級詳情】
《電馭叛客2077》ESRB評級頁面最近進行了更新，添加了對遊戲的一些細節描述，以下是新
增內容一覽：
● 在一個任務中，伴隨著一名角色的鮮血和慘叫，玩家通過捶打釘子釘穿了他的手腳

● 遊戲包含裸露和性相關的內容，可以選擇性別和捏人，定制內容包括胸部、臀部和各種
大小的丁丁

● 玩家在一些事件中會有和其他主要角色或妓女發生不可描述行為的選項，會出現第一人
稱視角下的動畫，包含部分裸露的角色、不同姿勢和音效

● 上述場景既有比較直白的呈現，也有類似頭向伴侶胯部移動的暗示

● 包含對某些虛構的致幻劑的展示

● 可以不停飲酒直到屏幕扭曲，還能喝完之後開車

https://i.imgur.com/x2kEG3T.jpg

相關評級（The ESRB）：
https://www.esrb.org/ratings/36949/Cyberpunk+2077/

Source:
https://wccftech.com/cyberpunk-2077-esrb-rating-summary/



https://www.facebook.com/813390455495501/posts/1555099987991207/?d=n

--
水啦

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.137.175.89 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/PlayStation/M.1588772137.A.42F.html

※ 發信站: 批踢踢實業坊(ptt.cc)
※ 轉錄者: ss8901234 (101.137.175.89 臺灣), 05/06/2020 21:36:02
推 tp950016: 酒駕會出車禍嗎                                        05/06 21:37
推 carcosa16: 漂亮                                                 05/06 21:37
→ lee988325: 拜託快出                                             05/06 21:38
→ mapulcatt: 有夠硬派                                             05/06 21:38
推 mithralin: 看來X級不可避                                        05/06 21:38
推 Ikaros2601: 等不及看那些sjw崩潰                                 05/06 21:39
推 TakeMyUltra: 我買定了 打算變成國考唯一樂趣                      05/06 21:39
→ mithralin: 不過這樣的話對岸肯定上不了他們要怎麼玩               05/06 21:41
推 flysonics: 丁丁                                                 05/06 21:42
→ Ikaros2601: 智障小粉紅沒資格玩人玩的遊戲喇                      05/06 21:42
→ KimJongUn: 警察先生心情看來還不賴 面帶微笑問我車子怎麼這樣開    05/06 21:47
推 busters0: 不可描述行為是什麼行為呀?                             05/06 21:47
推 audi1005: 這車速真的不會翻車嗎?                                 05/06 21:47
推 CactusFlower: 妹子也能有不同大小的clit嗎？                      05/06 21:48
推 npc776: 這她媽根本販促                                          05/06 21:48
推 Leaflock: 神作                                                  05/06 21:49
推 ggchioinder: 每個人都30公分                                     05/06 21:50
→ dreamnook: 沒AO還真是luk點滿（誤                                05/06 21:50
推 jeeplong: 都2077了 還管你他媽的分級                             05/06 21:51
→ jeeplong: 我要在奶子上面長老二應該都要可以                      05/06 21:51
→ EvilCerberus: 2077, 這是個妹子長著大ㄐㄐ的時代                  05/06 21:54
推 mrmowmow: 如果這不是goty那什麼才是goty                          05/06 21:58
推 bomda: 奶頭可以改成老二嗎                                       05/06 21:59
→ shampoopoo: 為什麼不能跟基努李維開車QWQ                         05/06 21:59
推 Kokoro: 扶他！扶他！扶他！                                      05/06 21:59
推 hitsuchi: 可以有獸人嗎>\\\\<                                    05/06 22:03
推 Leaflock: 這樣說來屌面人也殼以了八                              05/06 22:04
推 leamaSTC: 以描述來說 還沒到很特別的程度吧...                    05/06 22:06
→ leamaSTC: 有趣的是 理論上太直球的畫面上不了家機的               05/06 22:07
推 nmm00040: 總覺得會有多少人把GG或歐派調最大的統計。              05/06 22:07
→ poz93: 18+成這樣 這能實況嗎                                     05/06 22:13
推 TSYTstep: 是否硬派寫實到各國都無法上架                          05/06 22:20


--------------------------------------------------------


 作者  Kbart (凱巴特)                                            看板  C_Chat 
 標題  [討論] 劇情創作進展到這狀況要如何解                                    
 時間  Wed May  6 21:39:05 2020                                               
───────────────────────────────────────

一樣是B女追A男變成A男追B女

並且A男惡墮要把B女搶回來



由於A男並非喜歡B女的外表而是B女在A男身邊發神經的樣子

最終決戰A男決定對B女使用記憶改造

改造方式很單純，將B女從初認識A男開始，這個時間點以後的記憶通通洗掉

因為B女放棄A男的時間點絕對是在後面的，此時間點的B女仍然是迷戀A男狀態

要舉例的話，類似「青春過後」失去記憶期間的男主角





這個問題我想蠻久的，雖然自己有想出一套解答

還是丟上來跟各位鄉民分享，故事進行到這裡各位會如何掰掙脫方式呢 XD

--
  ▁▁▁▁     
我認為狂暴颶風斧是仙境傳說裡最強的武器
  ◤ ██ -      
所以我覺得仙境傳說裡面
    □–□     
應該就只有狂暴颶風斧的存在  其它應該廢除
   ㄑ          
有興趣可以找我報名  不過要先經過選拔
    ㄧ  ／◣     
因為我只會訓練菁英  絕對不會接受  垃圾
 ◢ /– ◤ /█◣ 
不要誤會  我不是針對你  我是說在座的各位 都是垃圾

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.121.87.91 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588772347.A.809.html
→ rootpresent: B女惡墮反剛A男                                     05/06 21:42
→ vorsss: 我很認真看了三遍還是看不懂你的故事內容 XD 抱歉          05/06 21:44
好吧，解釋一遍 XD

B曾經喜歡A也追了五年，但是A從頭拒絕到尾
A原本是對B沒有意思的，是長期相處發現喜歡上B的點
等到B放棄完全釋懷並交了其他男友後
A開始追B（而且一開始還是連問都沒問直接把B當自己女友這種）
B當然打槍，然後A就惡墮了

不但回追20年，這段期間還暗中殺害B的歷任男友
→ vorsss: 1.你說一樣是跟什麼一樣 2.惡墮是什麼意思 3.最終決戰是?   05/06 21:45
→ vorsss: 4.沒看過青春過後sry 5.為什麼又變成BOSS 跳太快了吧 ==    05/06 21:46
→ vorsss: 最後問再問一個問題 這是少女漫畫情節嗎 是的話當我沒問    05/06 21:47
其實是以少年漫畫的角度出發的 XD
把A男設定為邪惡組織的領導人
當初就是為了追回B女才成立組織，目的是為了統治全世界
實際上是當上世界之王後讓B女當王后

嗯......很中二對吧 XD
反正A男本身就有點精神異常（踹
→ asd8569741: 我也看不太懂 不過要是我的話應該會讓洗腦成功 只是    05/06 21:49
→ asd8569741: 最後發現無論怎麼做 B女都不會變成A男喜歡的樣子       05/06 21:49
→ vorsss: 故事進行時是以誰的角度描寫呢 還是第三人稱視野?          05/06 21:55
第三人稱
此時間點主角在門口打另外一位幹部，此戰役為AB兩人單獨戰鬥
→ vorsss: 另外BOSS是A 代表反派嗎?                                 05/06 21:55
→ vorsss: 你說要B女掙脫 所以投射在讀者身上的是B女視角嗎?          05/06 21:56
是的
另外補充：洗腦過程是灌入B女和A男交往的記憶
→ vorsss: 你打算BE還是HE 或其他?                                  05/06 21:58
結局：
B女殺死A男，A男直至臨終都無法挽回B女的心意
→ vorsss: 哈很抱歉問了那麼多 其實我只是好奇 但寫故事我一竅不通    05/06 22:00
→ vorsss: 不過想一想情節到是挺有趣的就是了                        05/06 22:00
推 forgot727: AB之間要不要加個青梅竹馬的設定，然後主角是天降       05/06 22:00
粗略來說可以算是青梅竹馬了
兩人13歲認識，B女追A男五年，A男為挽回B女幹了20年
A男是敵對組織首領，B女是討伐敵對組織遠征隊長（軍隊相關部門）
因為主角在先前有成功殺死一位幹部被B女看上才牽上線的
→ forgot727: B殺死A的時候還可以流著淚回想過去種種，最後再補一句   05/06 22:04
→ forgot727: 「但是，已經回不去了啊！」然後A嘴角流血說「是啊，已  05/06 22:04
→ forgot727: 經回不去了…」A眼睛緩緩閉上，原本想要觸摸B的手也無   05/06 22:04
→ forgot727: 力垂下。                                             05/06 22:04
好吧，來破哽 XD
這是我想到的解法：
其實以A男這種錯過的緣分無法釋懷的性格，就算交往了潛在問題總有一天會爆出來
因此A男洗B女記憶，洗到最後終究還是會洗成兩人分手
明顯A男是一旦分手就會報復前女友的那種人
—→最後還是回歸A男惡墮成為BOSS這條路
（然後洗腦的記憶與現實的記憶重疊造成洗腦術破解）
→ forgot727: B女18歲高中（或者學園）畢業時發起最後的告白，但是A   05/06 22:08
→ forgot727: 還是拒絕B，最後B在畢業的同時結束了這場持續5年的單戀  05/06 22:08
→ forgot727: 。                                                   05/06 22:08
→ forgot727: 而A在畢業之後，身邊少了B的歡笑，頓時才發現原來自己   05/06 22:08
→ forgot727: 是喜歡B的。                                          05/06 22:08
→ forgot727: 類似這樣？                                           05/06 22:08
最後告白是對的，但是此時A男已經是為了釣B女胃口刻意拒絕B
因為A男天真以為B女永遠不會變心，只是正好這時候A男必須失聯一陣子
→ vorsss: A男什麼時候喜他記憶的阿3+15= 18歲  18+20= 38歲?         05/06 22:14
→ vorsss: 13+5啦 ==                                               05/06 22:14
不然大大覺得19歲就當上IS首領或是軍隊連長有點扯嗎 XD
推 forgot727: 喔喔，所以A洗腦的方式是類似虛假的夢境（要不要加個夢  05/06 22:17
→ forgot727: 境是道具製造的設定），然後把記憶回到原點的B跟A放在   05/06 22:17
→ forgot727: 夢境裡演出A想要的劇情，但是中間A自身的性格導致最後   05/06 22:17
→ forgot727: 還是分手。                                           05/06 22:17
→ forgot727: 是這樣嗎？                                           05/06 22:17
→ vorsss: 不是 我是看不懂故事流程 正在了解內容==                  05/06 22:17
→ vorsss: 你說A男洗她記憶 是發生在哪一年                          05/06 22:18
→ vorsss: 你說A男被B女暗戀五年 13~18歲 18歲之後他變心了           05/06 22:18
約19~20歲A男回頭追B女被打槍
→A男殺害B女未婚夫→A男被逮捕入獄→監獄發生爆炸A男生死未卜
→20年間B女歷任男友全死於非命
→ vorsss: 接下來20年 換B男喜歡A女 所以我意思是 在第20年洗她記憶?  05/06 22:19
是的^^
※ 編輯: Kbart (122.121.87.91 臺灣), 05/06/2020 22:21:33


--------------------------------------------------------


 作者  yyes5210 (格式化D曹)                                      看板  C_Chat 
 標題  [閒聊] 有不拖泥帶水的奧特曼嗎?                                         
 時間  Wed May  6 21:39:08 2020                                               
───────────────────────────────────────

奧特曼=超人力霸王=鹹蛋超人

是大家小時候都看過的暢銷影集

也出了好多奧特曼(比如高斯系列)

可是看來看去，長大會覺得這些奧特曼是不是在混分阿

自衛隊開場，看似壓制怪獸結果被打爆

路人大喊救救我們啊

奧特曼登場，一路被挨打，打得連他媽媽都不認得

之後胸口藍燈開始閃閃閃，閃到變紅燈

奧特曼烙兄弟來打或是奧特曼爆氣一個大絕把怪獸KO

由此可知奧特曼平時都在藏

有沒有奧特曼是那種開場不演的，藍燈都沒閃就一連串COMBO秒殺怪獸的?


--
推 Johnchen1993:天哪 我就是對黑直腸完全沒抵抗力 .. 01/02 02:07
→ Johnchen1993:直長01/02 02:08
→ Johnchen1993:長01/02 02:08
→ Johnchen1993:直腸01/02 02:09

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 125.230.172.65 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588772351.A.1FF.html
→ rootpresent: 七號 隊長                                          05/06 21:40
推 Skyraker1320: 怎麼我看的都是登場秒殺的                          05/06 21:45
→ Skyraker1320: 會被打到閃燈開掛贏的 那是對到魔王八               05/06 21:45
→ yao7174: geed R&B 大河都算沒再演吧 後面兩個是真的不夠強 geed是  05/06 21:47
→ yao7174: 敵人比想像中的麻煩                                     05/06 21:47
→ PONANZA: 你這就跟要求戰隊系列敵方不變大 我方不開機器人一樣      05/06 21:50
推 Harvesthu: 賽文X，處刑才剛開，怪就被秒了。真的是秒殺王          05/06 21:51
推 tim860628: 你可以看“紅超人”                                   05/06 21:52
→ tim860628: レッドマン                                           05/06 21:52
→ PONANZA: 可惜奧特曼很久沒有防衛隊了 怪獸沒飛機玩 可惜           05/06 21:55


--------------------------------------------------------


 作者  Manaku (#w*)                                              看板  C_Chat 
 標題  [閒聊] 有哪些角色的口頭禪是去死？                                      
 時間  Wed May  6 21:40:50 2020                                               
───────────────────────────────────────

1.爆豪

認真時都會喊去死，可以當做吆喝的一種


2.民子

跟女主初見時，第一句話就是去死，給人震撼的印象



還有誰喜歡叫人去死？

--
